strain	date	virus	region	country	host	isolate_id	submitting_lab	originating_lab
A/Santiago/39284/2019	2019-05-02	h3n2_flu	South America	Chile	Human	EPI_ISL_378114	Centers for Disease Control and Prevention	Instituto de Salud Publica de Chile
A/Sao_Paulo/1138678-IAL/2019	2019-04-05	h3n2_flu	South America	Brazil	Human	EPI_ISL_393578	Centers for Disease Control and Prevention	Instituto Adolfo Lutz
A/Peru/9719/2019	2019-05-27	h3n2_flu	South America	Peru	Human	EPI_ISL_393585	Centers for Disease Control and Prevention	Laboratorio de Referencia Nacional Virus Respiratorios, Instituto Nacional de Salud
A/Peru/2891/2019	2019-05-03	h3n2_flu	South America	Peru	Human	EPI_ISL_393597	Centers for Disease Control and Prevention	Laboratorio de Referencia Nacional Virus Respiratorios, Instituto Nacional de Salud
A/Sao_Paulo/1140710-IAL/2019	2019-08-05	h3n2_flu	South America	Brazil	Human	EPI_ISL_393605	Centers for Disease Control and Prevention	Instituto Adolfo Lutz
A/Suriname/0804/2019	2019-07-23	h3n2_flu	South America	Suriname	Human	EPI_ISL_393773	Centers for Disease Control and Prevention	Central Laboratory, Bureau of Public Health
A/Suriname/0802/2019	2019-07-23	h3n2_flu	South America	Suriname	Human	EPI_ISL_393774	Centers for Disease Control and Prevention	Central Laboratory, Bureau of Public Health
A/Bolivia/954/2019	2019-07-01	h3n2_flu	South America	Bolivia	Human	EPI_ISL_393786	Centers for Disease Control and Prevention	CENETROP
A/Bolivia/968/2019	2019-07-02	h3n2_flu	South America	Bolivia	Human	EPI_ISL_393788	Centers for Disease Control and Prevention	CENETROP
A/Bolivia/977/2019	2019-07-03	h3n2_flu	South America	Bolivia	Human	EPI_ISL_393789	Centers for Disease Control and Prevention	CENETROP
A/Argentina/2852/2019	2019-11-13	h3n2_flu	South America	Argentina	Human	EPI_ISL_402399	Centers for Disease Control and Prevention	Instituto Nacional de Enfermedades Infecciosas
A/Argentina/2840/2019	2019-11-16	h3n2_flu	South America	Argentina	Human	EPI_ISL_402400	Centers for Disease Control and Prevention	Instituto Nacional de Enfermedades Infecciosas
A/Argentina/2819/2019	2019-11-12	h3n2_flu	South America	Argentina	Human	EPI_ISL_402401	Centers for Disease Control and Prevention	Instituto Nacional de Enfermedades Infecciosas
A/Ituverava/19180886-IAL/2019	2019-08-26	h3n2_flu	South America	Brazil	Human	EPI_ISL_402434	Centers for Disease Control and Prevention	Instituto Adolfo Lutz
A/Peru/555919/2019	2019-10-10	h3n2_flu	South America	Peru	Human	EPI_ISL_402460	Centers for Disease Control and Prevention	Laboratorio de Referencia Nacional Virus Respiratorios, Instituto Nacional de Salud
A/Peru/90704619/2019	2019-09-04	h3n2_flu	South America	Peru	Human	EPI_ISL_402464	Centers for Disease Control and Prevention	Laboratorio de Referencia Nacional Virus Respiratorios, Instituto Nacional de Salud
A/Ecuador/4321/2019	2019-11-23	h3n2_flu	South America	Ecuador	Human	EPI_ISL_402491	Centers for Disease Control and Prevention	INSPI
A/Sorocaba/1314601-IAL/2019	2019-09-11	h3n2_flu	South America	Brazil	Human	EPI_ISL_402510	Centers for Disease Control and Prevention	Instituto Adolfo Lutz
A/Marilia/1344855-IAL/2019	2019-10-02	h3n2_flu	South America	Brazil	Human	EPI_ISL_402514	Centers for Disease Control and Prevention	Instituto Adolfo Lutz
A/Chile/3542/2019	2019-12-02	h3n2_flu	South America	Chile	Human	EPI_ISL_402522	Centers for Disease Control and Prevention	Instituto de Salud Publica de Chile
A/Chile/2482/2019	2019-11-29	h3n2_flu	South America	Chile	Human	EPI_ISL_402525	Centers for Disease Control and Prevention	Instituto de Salud Publica de Chile
A/Palmas/19001930-IAL/2019	2019-03-11	h3n2_flu	South America	Brazil	Human	EPI_ISL_402717	Centers for Disease Control and Prevention	Instituto Adolfo Lutz
A/Palmas/19019981-IAL/2019	2019-04-04	h3n2_flu	South America	Brazil	Human	EPI_ISL_402778	Centers for Disease Control and Prevention	Instituto Adolfo Lutz
A/Sao_Paulo/1334848-IAL/2019	2019-09-24	h3n2_flu	South America	Brazil	Human	EPI_ISL_402782	Centers for Disease Control and Prevention	Instituto Adolfo Lutz
A/Sao_Paulo/1318447-IAL/2019	2019-09-16	h3n2_flu	South America	Brazil	Human	EPI_ISL_402784	Centers for Disease Control and Prevention	Instituto Adolfo Lutz
A/Maranhao/158276-IEC/2019	2019-07-04	h3n2_flu	South America	Brazil	Human	EPI_ISL_410132	Evandro Chagas Institute	Evandro Chagas Institute
A/Amazonas/158410-IEC/2019	2019-07-15	h3n2_flu	South America	Brazil	Human	EPI_ISL_410133	Evandro Chagas Institute	Evandro Chagas Institute
A/Para/159307-IEC/2019	2019-10-23	h3n2_flu	South America	Brazil	Human	EPI_ISL_410134	Evandro Chagas Institute	Evandro Chagas Institute
A/Sao_Paulo/1422711-IAL/2019	2019-12-22	h3n2_flu	South America	Brazil	Human	EPI_ISL_411105	Instituto Adolfo Lutz	Instituto Adolfo Lutz
A/Sao_Paulo/1425769-IAL/2020	2020-01-02	h3n2_flu	South America	Brazil	Human	EPI_ISL_411112	Instituto Adolfo Lutz	Instituto Adolfo Lutz
A/Ecuador/2043/2018	2018-12-13	h3n2_flu	South America	Ecuador	Human	EPI_ISL_417910	Centers for Disease Control and Prevention	INSPI
A/Suriname/0911/2019	2019-09-04	h3n2_flu	South America	Suriname	Human	EPI_ISL_418522	Centers for Disease Control and Prevention	Central Laboratory, Bureau of Public Health
A/Suriname/0921/2019	2019-09-09	h3n2_flu	South America	Suriname	Human	EPI_ISL_418577	Centers for Disease Control and Prevention	Central Laboratory, Bureau of Public Health
A/Alagoas/900/2019	2019-07-02	h3n2_flu	South America	Brazil	Human	EPI_ISL_491789	Centers for Disease Control and Prevention	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)
A/Rio_de_Janeiro/416/2020	2020-03-05	h3n2_flu	South America	Brazil	Human	EPI_ISL_516098	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Laboratório Central de Saúde Pública (LACEN RJ)
A/Santa_Catarina/927/2019	2019-09-05	h3n2_flu	South America	Brazil	Human	EPI_ISL_516103	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	LACEN SC
A/Santa_Catarina/947/2019	2019-09-18	h3n2_flu	South America	Brazil	Human	EPI_ISL_516107	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	LACEN SC
A/Santa_Catarina/965/2019	2019-09-22	h3n2_flu	South America	Brazil	Human	EPI_ISL_516110	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	LACEN SC
A/Santa_Catarina/999/2019	2019-09-25	h3n2_flu	South America	Brazil	Human	EPI_ISL_516112	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	LACEN SC
A/Santa_Catarina/1020/2019	2019-10-02	h3n2_flu	South America	Brazil	Human	EPI_ISL_516113	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	LACEN SC
A/Santa_Catarina/1127/2019	2019-10-22	h3n2_flu	South America	Brazil	Human	EPI_ISL_516116	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	LACEN SC
A/Rio_Grande_do_Sul/1067/2019	2019-09-07	h3n2_flu	South America	Brazil	Human	EPI_ISL_516134	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	LACEN/RS - Laboratório Central de Saúde Pública do Rio Grande do Sul
A/Rio_Grande_do_Sul/26/2020	2020-01-27	h3n2_flu	South America	Brazil	Human	EPI_ISL_516135	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	LACEN/RS - Laboratório Central de Saúde Pública do Rio Grande do Sul
A/Rio_Grande_do_Sul/122/2020	2020-02-26	h3n2_flu	South America	Brazil	Human	EPI_ISL_516138	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	LACEN/RS - Laboratório Central de Saúde Pública do Rio Grande do Sul
A/Rio_Grande_do_Sul/212/2020	2020-02-27	h3n2_flu	South America	Brazil	Human	EPI_ISL_516140	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	LACEN/RS - Laboratório Central de Saúde Pública do Rio Grande do Sul
A/Parana/988/2019	2019-09-15	h3n2_flu	South America	Brazil	Human	EPI_ISL_516141	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Laboratório Central do Estado do Paraná - LACEN/PR
A/Parana/41/2020	2020-01-30	h3n2_flu	South America	Brazil	Human	EPI_ISL_516144	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Laboratório Central do Estado do Paraná - LACEN/PR
A/Parana/51/2020	2020-01-20	h3n2_flu	South America	Brazil	Human	EPI_ISL_516148	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Laboratório Central do Estado do Paraná - LACEN/PR
A/Parana/1990/2020	2020-03-03	h3n2_flu	South America	Brazil	Human	EPI_ISL_516150	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Laboratório Central do Estado do Paraná - LACEN/PR
A/Parana/1994/2020	2020-03-12	h3n2_flu	South America	Brazil	Human	EPI_ISL_516154	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Laboratório Central do Estado do Paraná - LACEN/PR
A/Espirito_Santo/191/2020	2020-02-25	h3n2_flu	South America	Brazil	Human	EPI_ISL_516175	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	LACEN/ES - Laboratório Central de Saúde Pública do Espírito Santo
A/Rio_de_Janeiro/406/2020	2020-02-20	h3n2_flu	South America	Brazil	Human	EPI_ISL_516189	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Laboratório Central de Saúde Pública (LACEN RJ)
A/Sao_Paulo/355217808-IAL/2021	2021-11-12	h3n2_flu	South America	Brazil	Human	EPI_ISL_7062366	Instituto Adolfo Lutz	Instituto Adolfo Lutz
A/Sao_Paulo/355240609-IAL/2021	2021-11-17	h3n2_flu	South America	Brazil	Human	EPI_ISL_7079334	Instituto Adolfo Lutz	Instituto Adolfo Lutz
A/Sao_Paulo/IAL/C6495/2021	2021-11-27	h3n2_flu	South America	Brazil	Human	EPI_ISL_7652444	Instituto Adolfo Lutz	Instituto Adolfo Lutz - National Influenza Center
A/Sao_Paulo/IAL/C6500/2021	2021-11-25	h3n2_flu	South America	Brazil	Human	EPI_ISL_7652970	Instituto Adolfo Lutz	Instituto Adolfo Lutz - National Influenza Center
A/Rio_de_Janeiro/61947/2021	2021-12-01	h3n2_flu	South America	Brazil	Human	EPI_ISL_8152064	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)
A/Rio_de_Janeiro/61948/2021	2021-12-01	h3n2_flu	South America	Brazil	Human	EPI_ISL_8152065	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)
A/Rio_de_Janeiro/61950/2021	2021-12-01	h3n2_flu	South America	Brazil	Human	EPI_ISL_8152066	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)
A/Rio_de_Janeiro/61951/2021	2021-12-01	h3n2_flu	South America	Brazil	Human	EPI_ISL_8152067	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)
A/Rio_de_Janeiro/61952/2021	2021-12-01	h3n2_flu	South America	Brazil	Human	EPI_ISL_8152068	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)
A/Rio_de_Janeiro/61953/2021	2021-12-01	h3n2_flu	South America	Brazil	Human	EPI_ISL_8152069	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)
A/Rio_de_Janeiro/61957/2021	2021-12-01	h3n2_flu	South America	Brazil	Human	EPI_ISL_8152070	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)
A/Rio_de_Janeiro/61959/2021	2021-12-01	h3n2_flu	South America	Brazil	Human	EPI_ISL_8152071	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)
A/Rio_de_Janeiro/61962/2021	2021-12-01	h3n2_flu	South America	Brazil	Human	EPI_ISL_8152072	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)
A/Rio_de_Janeiro/61963/2021	2021-12-01	h3n2_flu	South America	Brazil	Human	EPI_ISL_8152073	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)
A/Rio_de_Janeiro/61969/2021	2021-11-29	h3n2_flu	South America	Brazil	Human	EPI_ISL_8152074	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)
A/Rio_de_Janeiro/61970/2021	2021-11-29	h3n2_flu	South America	Brazil	Human	EPI_ISL_8152075	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)
A/Rio_de_Janeiro/61971/2021	2021-11-29	h3n2_flu	South America	Brazil	Human	EPI_ISL_8152076	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)
A/Rio_de_Janeiro/61974/2021	2021-11-30	h3n2_flu	South America	Brazil	Human	EPI_ISL_8152077	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)
A/Rio_de_Janeiro/61975/2021	2021-11-30	h3n2_flu	South America	Brazil	Human	EPI_ISL_8152078	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)
A/Rio_de_Janeiro/61980/2021	2021-11-30	h3n2_flu	South America	Brazil	Human	EPI_ISL_8152079	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)
A/Rio_de_Janeiro/61981/2021	2021-11-30	h3n2_flu	South America	Brazil	Human	EPI_ISL_8152080	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)
A/Rio_de_Janeiro/61988/2021	2021-12-01	h3n2_flu	South America	Brazil	Human	EPI_ISL_8152081	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)
A/Rio_de_Janeiro/61994/2021	2021-12-01	h3n2_flu	South America	Brazil	Human	EPI_ISL_8152082	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)
A/Rio_de_Janeiro/61997/2021	2021-12-01	h3n2_flu	South America	Brazil	Human	EPI_ISL_8152083	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)
A/Rio_de_Janeiro/62002/2021	2021-12-01	h3n2_flu	South America	Brazil	Human	EPI_ISL_8152167	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)
A/Rio_de_Janeiro/62007/2021	2021-12-01	h3n2_flu	South America	Brazil	Human	EPI_ISL_8152169	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)
A/Rio_de_Janeiro/62008/2021	2021-12-01	h3n2_flu	South America	Brazil	Human	EPI_ISL_8152170	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)
A/Rio_de_Janeiro/62009/2021	2021-12-01	h3n2_flu	South America	Brazil	Human	EPI_ISL_8152171	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)
A/Rio_de_Janeiro/62010/2021	2021-12-01	h3n2_flu	South America	Brazil	Human	EPI_ISL_8152172	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)
A/Rio_de_Janeiro/62011/2021	2021-12-01	h3n2_flu	South America	Brazil	Human	EPI_ISL_8152173	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)
A/Rio_de_Janeiro/62012/2021	2021-12-01	h3n2_flu	South America	Brazil	Human	EPI_ISL_8152174	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)
A/Rio_de_Janeiro/62014/2021	2021-12-01	h3n2_flu	South America	Brazil	Human	EPI_ISL_8152175	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)
A/Rio_de_Janeiro/62015/2021	2021-12-01	h3n2_flu	South America	Brazil	Human	EPI_ISL_8152176	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)
A/Rio_de_Janeiro/62719/2021	2021-12-08	h3n2_flu	South America	Brazil	Human	EPI_ISL_8152177	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)
A/Bahia/62862/2021	2021-11-25	h3n2_flu	South America	Brazil	Human	EPI_ISL_8152178	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Laboratório Central de Saúde Pública Professor Gonçalo Moniz, LACEN-BA
A/Bahia/62863/2021	2021-11-23	h3n2_flu	South America	Brazil	Human	EPI_ISL_8152179	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Laboratório Central de Saúde Pública Professor Gonçalo Moniz, LACEN-BA
A/Bahia/62864/2021	2021-11-25	h3n2_flu	South America	Brazil	Human	EPI_ISL_8152180	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Laboratório Central de Saúde Pública Professor Gonçalo Moniz, LACEN-BA
A/Bahia/62866/2021	2021-11-24	h3n2_flu	South America	Brazil	Human	EPI_ISL_8152182	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Laboratório Central de Saúde Pública Professor Gonçalo Moniz, LACEN-BA
A/Parana/63688/2021	2021-11-29	h3n2_flu	South America	Brazil	Human	EPI_ISL_8152183	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Laboratório Central do Estado do Paraná - LACEN/PR
A/Parana/63689/2021	2021-12-06	h3n2_flu	South America	Brazil	Human	EPI_ISL_8152184	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Laboratório Central do Estado do Paraná - LACEN/PR
A/Parana/64746/2021	2021-12-10	h3n2_flu	South America	Brazil	Human	EPI_ISL_8152185	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Laboratório Central do Estado do Paraná - LACEN/PR
